step,loss_stage_0,loss_stage_1,loss_stage_2,loss_stage_3
0.0,10.964102745056152,10.964102745056152,10.9641027451,10.9641
48.0,10.122536659240723,9.841325759887695,9.8233690262,9.7766
100.0,10.035928726196289,9.69789981842041,10.1237,10.1450862885
148.0,9.882155418395996,9.249863624572754,9.4693,9.3993825912
200.0,9.618483543395996,8.845552444458008,9.3221,9.2208156586
248.0,9.375502586364746,8.527019500732422,8.8632,8.7768831253
300.0,9.246977806091309,8.381620407104492,8.5775651932,8.454662323
348.0,9.047645568847656,8.12840747833252,8.2860898972,8.1318082809
400.0,8.864326477050781,8.019259452819824,8.1139593124,7.9684691429
448.0,8.869869232177734,8.159605979919434,8.2039175034,8.0364332199
